size,version,processes,time_s,speedup,efficiency,cores_total
32,basic,1,0.0023909000010462478,1.0,1.0,16
32,parallel,2,0.2469370999970124,0.00968222272422886,0.00484111136211443,16
32,numpy,1,0.0003361999988555908,7.111540776873172,,16
32,basic,1,0.0027933000019402243,1.0,1.0,16
32,parallel,4,0.20281580000300892,0.013772595635541136,0.003443148908885284,16
32,numpy,1,2.8400005248840898e-05,98.3556156932129,,16
32,basic,1,0.0025201000025845133,1.0,1.0,16
32,parallel,16,0.3583429000063916,0.00703264946100387,0.00043954059131274186,16
32,numpy,1,3.560000186553225e-05,70.7893222057514,,16
64,basic,1,0.019498299996485002,1.0,1.0,16
64,parallel,2,0.2007655000052182,0.09711977404473483,0.048559887022367416,16
64,numpy,1,6.420000136131421e-05,303.71183151149177,,16
64,basic,1,0.019359400001121685,1.0,1.0,16
64,parallel,4,0.21105119999992894,0.09172845262726866,0.022932113156817164,16
64,numpy,1,4.979999357601628e-05,388.7430220562356,,16
64,basic,1,0.01911399999517016,1.0,1.0,16
64,parallel,16,0.3785388999967836,0.05049414999444594,0.003155884374652871,16
64,numpy,1,4.86999997519888e-05,392.4846014889269,,16
128,basic,1,0.15441590000409633,1.0,1.0,16
128,parallel,2,0.2553967999992892,0.6046117257715291,0.30230586288576455,16
128,numpy,1,0.00023540000256616622,655.9723802921078,,16
128,basic,1,0.15285820000281092,1.0,1.0,16
128,parallel,4,0.24685650000174064,0.6192188579265001,0.15480471448162503,16
128,numpy,1,0.00018509999790694565,825.8141638643158,,16
128,basic,1,0.15266390000033425,1.0,1.0,16
128,parallel,16,0.4295932000022731,0.3553685207296728,0.02221053254560455,16
128,numpy,1,0.00019329999486217275,789.7770515161526,,16
256,basic,1,1.2283731999996235,1.0,1.0,16
256,parallel,2,0.7539451999982703,1.629260588173307,0.8146302940866536,16
256,numpy,1,0.0005205999987083487,2359.5336209130196,,16
256,basic,1,1.2285315999979503,1.0,1.0,16
256,parallel,4,0.5087276999984169,2.4149099803328444,0.6037274950832111,16
256,numpy,1,0.0005512999996426515,2228.4266294109834,,16
256,basic,1,1.2055681999991066,1.0,1.0,16
256,parallel,16,0.6930894000033732,1.7394122605153668,0.10871326628221042,16
256,numpy,1,0.0004927000045427121,2446.8605416759156,,16
512,basic,1,9.780908400003682,1.0,1.0,16
512,parallel,2,4.948548399996071,1.9765207106010014,0.9882603553005007,16
512,numpy,1,0.002093399998557288,4672.259676480561,,16
512,basic,1,9.856628900000942,1.0,1.0,16
512,parallel,4,2.670316299998376,3.691184036889913,0.9227960092224783,16
512,numpy,1,0.0020559000040520914,4794.313381280192,,16
512,basic,1,9.83568400000513,1.0,1.0,16
512,parallel,16,1.765175199994701,5.572072392607066,0.34825452453794165,16
512,numpy,1,0.0022151000011945143,4440.2889236157025,,16
1024,basic,1,80.3873470000035,1.0,1.0,16
1024,parallel,2,54.13076870000077,1.4850582936577132,0.7425291468288566,16
1024,numpy,1,0.009642500001064036,8336.774383316866,,16
1024,basic,1,86.36739110000053,1.0,1.0,16
1024,parallel,4,30.75164589999622,2.8085453175698523,0.7021363293924631,16
1024,numpy,1,0.01024640000105137,8429.047381630473,,16
1024,basic,1,86.04782110000087,1.0,1.0,16
1024,parallel,16,10.966198599999188,7.84664077668694,0.4904150485429338,16
1024,numpy,1,0.010211699998762924,8426.395322074186,,16
2048,basic,1,860.8891432999953,1.0,1.0,16
2048,parallel,2,481.7782234999977,1.786899243900756,0.893449621950378,16
2048,numpy,1,0.0874132999961148,9848.49151488685,,16
2048,basic,1,701.4157348000008,1.0,1.0,16
2048,parallel,4,238.5046286999932,2.9408894016991494,0.7352223504247873,16
2048,numpy,1,0.07265130000450881,9654.551739011831,,16
2048,basic,1,701.1321755000026,1.0,1.0,16
2048,parallel,16,82.37396970000555,8.511574445828309,0.5319734028642693,16
2048,numpy,1,0.0715076999986195,9804.988490939275,,16
